date,open,high,low,close,volume,market cap
2014-02-14,651.08,657.99,601.91,605.24,23001732.75261324,7941472584.606925
2014-02-15,601.17,691.72,541.04,661.99,83605031.70731707,7711203962.133524
2014-02-16,660.9,661.84,632.84,650.92,59722314.23611111,8034029221.9607935
2014-02-17,651.3,665.1,584.17,616.63,26895555.400696862,7849611059.002528
2014-02-18,614.23,656.95,607.31,626.27,42927346.503496505,7797772263.793191
2014-02-19,627.16,645.76,612.54,626.6,25615585.96491228,7794976824.250026
2014-02-20,625.97,631.77,618.7,623.03,15284668.197879858,7750140803.418797
2014-02-21,623.09,627.73,556.14,556.14,29843161.267605636,7422868540.349037
2014-02-22,556.88,582.96,530.47,574.16,55196455.28169014,6996345255.881084
2014-02-23,574.24,614.48,558.58,605.42,28979581.533101045,7180168421.867626
2014-02-24,606.47,639.91,599.7,605.82,35687902.09059233,7675297672.93679
2014-02-25,606.04,607.61,538.7,546.32,47587242.456140354,7105573278.507786
2014-02-26,540.24,541.38,420.41,538.71,98908728.5198556,6252179685.794806
2014-02-27,537.04,603.8,532.58,582.69,88164242.95774648,7125118331.053257
2014-02-28,581.65,594.05,566.62,578.77,43455990.87719298,7210937027.745565
2014-03-01,579.7,584.14,545.17,549.26,23830455.0877193,7070255331.975941
2014-03-02,549.92,573.38,539.29,565.61,27497411.45833333,6982480864.197009
2014-03-03,567.23,570.48,553.27,559.79,10561847.263157897,7011787695.328666
2014-03-04,562.56,702.91,560.52,667.76,40165800.94545455,7498897993.798949
2014-03-05,668.24,696.22,655.68,666.78,85672067.42424242,8403577585.418315
2014-03-06,666.24,674.28,646.28,665.51,37862335.35714286,8242502215.116514
2014-03-07,664.52,669.77,649.79,663.86,18503728.62190813,8245171934.647258
2014-03-08,664.31,665.34,616.35,629.15,22641439.08450704,8025457767.947
2014-03-09,629.66,635.14,604.46,617.45,28762910.416666668,7735490966.473212
2014-03-10,616.31,643.95,612.35,636.96,15915538.111888113,7832981151.03068
2014-03-11,636.33,644.76,615.02,627.79,18088327.08333333,7874269858.756705
2014-03-12,627.95,638.42,618.84,634.11,15204582.43902439,7837667867.443592
2014-03-13,631.91,648.03,629.51,632.1,18940549.30555556,7959922309.064316
2014-03-14,633.62,644.2,630.85,638.14,12905969.58041958,7983159635.180029
2014-03-15,638.14,639.53,627.21,628.8,12083537.142857144,7923032541.172365
2014-03-16,629.37,639.14,627.3,636.12,8524813.263888888,7932813424.413489
2014-03-17,636.5,637.52,628.11,631.11,4539644.912891986,7923801162.071549
2014-03-18,630.92,632.68,616.855,622.373,10534403.776223777,7825009997.995891
2014-03-19,621.838,622.391,603.796,614.832,19978577.43055556,7696416281.718099
2014-03-20,613.896,622.0,609.096,609.888,19580376.783216786,7698074856.061342
2014-03-21,609.745,609.745,587.493,588.77,16687415.679442508,7488914117.02097
2014-03-22,588.294,604.592,561.813,571.49,29695169.444444444,7306086310.096597
2014-03-23,571.18,572.548,554.391,565.04,27472762.152777776,7084883883.730602
2014-03-24,565.764,570.238,560.878,561.272,13137691.49825784,7091490042.65409
2014-03-25,562.507,586.562,551.772,583.412,14198842.0979021,7077884418.325598
